"SUID","EdgeBetweenness","interaction","name","path length","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"1204","89.11278961","pp","1352.AL014_12240 (pp) 1352.AL014_13515",,"false","pp","1352.AL014_12240 (pp) 1352.AL014_13515",,,,,,,,,
"1205","113.01326856","pp","1352.AL014_12240 (pp) 1352.AL014_14230",,"false","pp","1352.AL014_12240 (pp) 1352.AL014_14230",,,,,,,,,
"1206","304.31191748","pp","1352.AL014_12240 (pp) 1352.AL014_14500",,"false","pp","1352.AL014_12240 (pp) 1352.AL014_14500",,,,,,,,,
"1207","223.48598865","pp","1352.AL014_12240 (pp) 1352.AL014_14505",,"false","pp","1352.AL014_12240 (pp) 1352.AL014_14505",,,,,,,,,
"1208","513.0329808","pp","1352.AL014_13515 (pp) 1352.AL014_15170",,"false","pp","1352.AL014_13515 (pp) 1352.AL014_15170",,,,,,,,,
"1209","1397.2267777","pp","1352.AL014_14500 (pp) 1352.AL014_14985",,"false","pp","1352.AL014_14500 (pp) 1352.AL014_14985",,,,,,,,,
"1210","9.01256521","pp","1352.AL014_14500 (pp) 1352.AL014_14505",,"false","pp","1352.AL014_14500 (pp) 1352.AL014_14505",,,,,,,,,
"1211","1337.13370777","pp","1352.AL014_14505 (pp) 1352.AL014_14985",,"false","pp","1352.AL014_14505 (pp) 1352.AL014_14985",,,,,,,,,
"1212","2.0","pp","1352.AL014_11150 (pp) 1352.AL014_11155",,"false","pp","1352.AL014_11150 (pp) 1352.AL014_11155",,,,,,,,,
"1213","576.34022689","pp","1352.AL014_14420 (pp) 1352.AL014_14985",,"false","pp","1352.AL014_14420 (pp) 1352.AL014_14985",,,,,,,,,
"1214","588.06757803","pp","1352.AL014_14985 (pp) 1352.AL014_14995",,"false","pp","1352.AL014_14985 (pp) 1352.AL014_14995",,,,,,,,,
"1215","569.41475178","pp","1352.AL014_14985 (pp) 1352.AL014_15130",,"false","pp","1352.AL014_14985 (pp) 1352.AL014_15130",,,,,,,,,
"1216","601.18730578","pp","1352.AL014_14985 (pp) 1352.AL014_15355",,"false","pp","1352.AL014_14985 (pp) 1352.AL014_15355",,,,,,,,,
"1217","17.43323412","pp","1352.AL014_11390 (pp) 1352.AL014_11840",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11840",,,,,,,,,
"1218","9.09775216","pp","1352.AL014_11390 (pp) 1352.AL014_11845",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11845",,,,,,,,,
"1219","19.09877521","pp","1352.AL014_11390 (pp) 1352.AL014_11850",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11850",,,,,,,,,
"1220","12.59251526","pp","1352.AL014_11390 (pp) 1352.AL014_11855",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11855",,,,,,,,,
"1221","50.2630115","pp","1352.AL014_11390 (pp) 1352.AL014_11860",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11860",,,,,,,,,
"1222","9.80308261","pp","1352.AL014_11390 (pp) 1352.AL014_11535",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11535",,,,,,,,,
"1223","18.94230884","pp","1352.AL014_11390 (pp) 1352.AL014_11865",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11865",,,,,,,,,
"1224","25.79210484","pp","1352.AL014_11390 (pp) 1352.AL014_11675",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11675",,,,,,,,,
"1225","11.07864641","pp","1352.AL014_11390 (pp) 1352.AL014_12660",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_12660",,,,,,,,,
"1226","8.74513514","pp","1352.AL014_11390 (pp) 1352.AL014_11870",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11870",,,,,,,,,
"1227","17.96668207","pp","1352.AL014_11390 (pp) 1352.AL014_11875",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11875",,,,,,,,,
"1228","40.96080383","pp","1352.AL014_11390 (pp) 1352.AL014_11735",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11735",,,,,,,,,
"1229","30.02532635","pp","1352.AL014_11390 (pp) 1352.AL014_11880",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11880",,,,,,,,,
"1230","12.24798289","pp","1352.AL014_11390 (pp) 1352.AL014_11765",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11765",,,,,,,,,
"1231","17.85383513","pp","1352.AL014_11390 (pp) 1352.AL014_12730",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_12730",,,,,,,,,
"1232","31.65520205","pp","1352.AL014_11390 (pp) 1352.AL014_11885",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11885",,,,,,,,,
"1233","233.04970099","pp","1352.AL014_11390 (pp) 1352.AL014_13245",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_13245",,,,,,,,,
"1234","7.80899509","pp","1352.AL014_11390 (pp) 1352.AL014_11890",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11890",,,,,,,,,
"1235","59.64637407","pp","1352.AL014_11390 (pp) 1352.AL014_13460",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_13460",,,,,,,,,
"1236","39.99831231","pp","1352.AL014_11390 (pp) 1352.AL014_11770",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11770",,,,,,,,,
"1237","9.45597897","pp","1352.AL014_11390 (pp) 1352.AL014_11895",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11895",,,,,,,,,
"1238","26.43030056","pp","1352.AL014_11390 (pp) 1352.AL014_14485",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_14485",,,,,,,,,
"1239","38.32439788","pp","1352.AL014_11390 (pp) 1352.AL014_11900",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11900",,,,,,,,,
"1240","11.93377002","pp","1352.AL014_11390 (pp) 1352.AL014_14510",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_14510",,,,,,,,,
"1241","14.13794981","pp","1352.AL014_11390 (pp) 1352.AL014_14515",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_14515",,,,,,,,,
"1242","8.92073976","pp","1352.AL014_11390 (pp) 1352.AL014_14520",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_14520",,,,,,,,,
"1243","13.2370472","pp","1352.AL014_11390 (pp) 1352.AL014_11775",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11775",,,,,,,,,
"1244","18.24193195","pp","1352.AL014_11390 (pp) 1352.AL014_11780",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11780",,,,,,,,,
"1245","6.89960402","pp","1352.AL014_11390 (pp) 1352.AL014_11905",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11905",,,,,,,,,
"1246","10.42377426","pp","1352.AL014_11390 (pp) 1352.AL014_11785",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11785",,,,,,,,,
"1247","14.7920122","pp","1352.AL014_11390 (pp) 1352.AL014_14525",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_14525",,,,,,,,,
"1248","53.88107875","pp","1352.AL014_11390 (pp) 1352.AL014_14965",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_14965",,,,,,,,,
"1249","27.50157643","pp","1352.AL014_11390 (pp) 1352.AL014_11920",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11920",,,,,,,,,
"1250","10.76299892","pp","1352.AL014_11390 (pp) 1352.AL014_11790",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11790",,,,,,,,,
"1251","74.01918054","pp","1352.AL014_11390 (pp) 1352.AL014_11800",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11800",,,,,,,,,
"1252","62.24942463","pp","1352.AL014_11390 (pp) 1352.AL014_11925",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11925",,,,,,,,,
"1253","18.70271909","pp","1352.AL014_11390 (pp) 1352.AL014_11805",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11805",,,,,,,,,
"1254","15.99338129","pp","1352.AL014_11390 (pp) 1352.AL014_11810",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11810",,,,,,,,,
"1255","11.4850727","pp","1352.AL014_11390 (pp) 1352.AL014_11815",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11815",,,,,,,,,
"1256","49.09057289","pp","1352.AL014_11390 (pp) 1352.AL014_12275",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_12275",,,,,,,,,
"1257","17.56604615","pp","1352.AL014_11390 (pp) 1352.AL014_11820",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11820",,,,,,,,,
"1258","11.7903918","pp","1352.AL014_11390 (pp) 1352.AL014_12285",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_12285",,,,,,,,,
"1259","18.08909906","pp","1352.AL014_11390 (pp) 1352.AL014_12295",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_12295",,,,,,,,,
"1260","18.51426239","pp","1352.AL014_11390 (pp) 1352.AL014_11825",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11825",,,,,,,,,
"1261","17.65789736","pp","1352.AL014_11390 (pp) 1352.AL014_11830",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11830",,,,,,,,,
"1262","25.19348342","pp","1352.AL014_11390 (pp) 1352.AL014_12330",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_12330",,,,,,,,,
"1263","16.65785744","pp","1352.AL014_11390 (pp) 1352.AL014_11835",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_11835",,,,,,,,,
"1264","145.8369229","pp","1352.AL014_11390 (pp) 1352.AL014_12570",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_12570",,,,,,,,,
"1265","16.15132477","pp","1352.AL014_11390 (pp) 1352.AL014_12655",,"false","pp","1352.AL014_11390 (pp) 1352.AL014_12655",,,,,,,,,
"1266","11.84843866","pp","1352.AL014_11840 (pp) 1352.AL014_11845",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11845",,,,,,,,,
"1267","5.33515277","pp","1352.AL014_11840 (pp) 1352.AL014_11850",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11850",,,,,,,,,
"1268","22.78416955","pp","1352.AL014_11840 (pp) 1352.AL014_11855",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11855",,,,,,,,,
"1269","26.40198027","pp","1352.AL014_11840 (pp) 1352.AL014_11860",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11860",,,,,,,,,
"1270","6.13331486","pp","1352.AL014_11840 (pp) 1352.AL014_11865",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11865",,,,,,,,,
"1271","10.08868373","pp","1352.AL014_11840 (pp) 1352.AL014_11870",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11870",,,,,,,,,
"1272","5.82366677","pp","1352.AL014_11840 (pp) 1352.AL014_11875",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11875",,,,,,,,,
"1273","11.00843077","pp","1352.AL014_11840 (pp) 1352.AL014_11880",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11880",,,,,,,,,
"1274","9.0842118","pp","1352.AL014_11840 (pp) 1352.AL014_11885",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11885",,,,,,,,,
"1275","11.3059008","pp","1352.AL014_11840 (pp) 1352.AL014_11900",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11900",,,,,,,,,
"1276","12.85377132","pp","1352.AL014_11840 (pp) 1352.AL014_11905",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11905",,,,,,,,,
"1277","12.36151754","pp","1352.AL014_11840 (pp) 1352.AL014_11890",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11890",,,,,,,,,
"1278","9.76451962","pp","1352.AL014_11840 (pp) 1352.AL014_11895",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11895",,,,,,,,,
"1279","188.56402782","pp","1352.AL014_11840 (pp) 1352.AL014_14275",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_14275",,,,,,,,,
"1280","24.56966091","pp","1352.AL014_11840 (pp) 1352.AL014_14525",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_14525",,,,,,,,,
"1281","35.43960934","pp","1352.AL014_11840 (pp) 1352.AL014_11915",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11915",,,,,,,,,
"1282","20.87822141","pp","1352.AL014_11840 (pp) 1352.AL014_11920",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11920",,,,,,,,,
"1283","46.56148277","pp","1352.AL014_11840 (pp) 1352.AL014_14965",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_14965",,,,,,,,,
"1284","44.04132314","pp","1352.AL014_11840 (pp) 1352.AL014_14485",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_14485",,,,,,,,,
"1285","78.51843528","pp","1352.AL014_11840 (pp) 1352.AL014_11925",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_11925",,,,,,,,,
"1286","48.97513605","pp","1352.AL014_11840 (pp) 1352.AL014_12275",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_12275",,,,,,,,,
"1287","19.59388146","pp","1352.AL014_11840 (pp) 1352.AL014_12285",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_12285",,,,,,,,,
"1288","29.85031721","pp","1352.AL014_11840 (pp) 1352.AL014_12295",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_12295",,,,,,,,,
"1289","16.44416654","pp","1352.AL014_11840 (pp) 1352.AL014_14510",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_14510",,,,,,,,,
"1290","39.49989908","pp","1352.AL014_11840 (pp) 1352.AL014_12330",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_12330",,,,,,,,,
"1291","15.92543478","pp","1352.AL014_11840 (pp) 1352.AL014_14515",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_14515",,,,,,,,,
"1292","112.52947143","pp","1352.AL014_11840 (pp) 1352.AL014_12570",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_12570",,,,,,,,,
"1293","17.20861674","pp","1352.AL014_11840 (pp) 1352.AL014_14520",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_14520",,,,,,,,,
"1294","86.6917739","pp","1352.AL014_11840 (pp) 1352.AL014_12575",,"false","pp","1352.AL014_11840 (pp) 1352.AL014_12575",,,,,,,,,
