"SUID","400667.A1S_3095","EdgeBetweenness","interaction","name","pp","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"1487","","2196.0","pp","272620.KPN_04176 (pp) 272620.KPN_04177","","false","pp","272620.KPN_04176 (pp) 272620.KPN_04177","0.175","0.721","0.407","0.322",,"0.85","0.995","0.695"
"1488","","454.70653687","pp","272620.KPN_00800 (pp) 272620.KPN_00803","","false","pp","272620.KPN_00800 (pp) 272620.KPN_00803","0.74","0.742","0.873","0.2",,"0.902","0.999","0.972"
"1489","","221.89274264","pp","272620.KPN_00800 (pp) 272620.KPN_00802","","false","pp","272620.KPN_00800 (pp) 272620.KPN_00802","0.792","0.204",,,,"0.902","0.997","0.836"
"1490","","1044.61766507","pp","272620.KPN_00800 (pp) 272620.KPN_04372","","false","pp","272620.KPN_00800 (pp) 272620.KPN_04372",,"0.327",,,,"0.085","0.822","0.734"
"1491","","723.17115358","pp","272620.KPN_00800 (pp) 272620.KPN_04351","","false","pp","272620.KPN_00800 (pp) 272620.KPN_04351",,,"0.873",,,"0.141","0.967","0.726"
"1492","","3099.5258999","pp","272620.KPN_00800 (pp) 272620.KPN_03252","","false","pp","272620.KPN_00800 (pp) 272620.KPN_03252","0.07",,"0.838",,,"0.066","0.899","0.367"
"1493","","723.17115358","pp","272620.KPN_00800 (pp) 272620.KPN_01575","","false","pp","272620.KPN_00800 (pp) 272620.KPN_01575","0.079","0.579","0.873",,,"0.115","0.974","0.491"
"1494","","723.67115358","pp","272620.KPN_00800 (pp) 272620.KPN_00801","","false","pp","272620.KPN_00800 (pp) 272620.KPN_00801","0.27","0.38","0.369",,,"0.857","0.96","0.174"
"1495","","78.99645658","pp","272620.KPN_00803 (pp) 272620.KPN_04351","","false","pp","272620.KPN_00803 (pp) 272620.KPN_04351","0.067","0.199","0.476",,,"0.066","0.924","0.824"
"1496","","78.99645658","pp","272620.KPN_00803 (pp) 272620.KPN_01575","","false","pp","272620.KPN_00803 (pp) 272620.KPN_01575",,,"0.873",,,,"0.874","0.051"
"1497","","1082.82501319","pp","272620.KPN_00803 (pp) 272620.KPN_03782","","false","pp","272620.KPN_00803 (pp) 272620.KPN_03782",,"0.173",,,,"0.617","0.878","0.646"
"1498","","4654.78692953","pp","272620.KPN_00802 (pp) 272620.KPN_04387","","false","pp","272620.KPN_00802 (pp) 272620.KPN_04387",,,"0.805",,,,"0.811","0.072"
