"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"48994","543.7604688","pp","sigD (pp) 83332.Rv3911","false","pp","sigD (pp) 83332.Rv3911",,"0.343",,,,,,"0.927","0.894"
"48995","2118.2445505","pp","sigD (pp) 83332.Rv3223c","false","pp","sigD (pp) 83332.Rv3223c",,,,,,,,"0.824","0.825"
"48996","2289.4866702","pp","sigD (pp) 83332.Rv2710","false","pp","sigD (pp) 83332.Rv2710","0.07",,,"0.072",,,"0.044","0.844","0.834"
"48997","4850.0","pp","moaD2 (pp) 83332.Rv0870c","false","pp","moaD2 (pp) 83332.Rv0870c","0.085",,,,,,"0.857","0.864",
"48998","3572.6794978","pp","moaD2 (pp) 83332.Rv1335","false","pp","moaD2 (pp) 83332.Rv1335","0.07",,"0.945",,,,,"0.98","0.653"
"48999","1919.47538841","pp","moaD2 (pp) 83332.Rv3323c","false","pp","moaD2 (pp) 83332.Rv3323c","0.222",,"0.351","0.311",,,"0.068","0.952","0.876"
"49000","1423.0175192","pp","moaD2 (pp) 83332.Rv3206c","false","pp","moaD2 (pp) 83332.Rv3206c",,"0.168","0.597","0.558",,,"0.117","0.967","0.789"
"49001","2003.82389892","pp","moaD2 (pp) 83332.Rv3109","false","pp","moaD2 (pp) 83332.Rv3109","0.169",,"0.199",,,,"0.134","0.857","0.782"
"49002","146.41954209","pp","moaD2 (pp) 83332.Rv3116","false","pp","moaD2 (pp) 83332.Rv3116",,"0.162","0.597","0.558",,,"0.117","0.956","0.722"
"49003","754.33952871","pp","moaD2 (pp) 83332.Rv3119","false","pp","moaD2 (pp) 83332.Rv3119","0.222",,"0.351","0.311",,,"0.068","0.952","0.877"
"49004","106.93650537","pp","fadD28 (pp) 83332.Rv2935","false","pp","fadD28 (pp) 83332.Rv2935","0.073","0.283","0.194",,"0.054",,"0.068","0.797","0.652"
"49005","157.54548944","pp","fadD28 (pp) 83332.Rv2928","false","pp","fadD28 (pp) 83332.Rv2928","0.07","0.519","0.151",,,,"0.068","0.848","0.639"
"49006","244.57633774","pp","fadD28 (pp) 83332.Rv2939","false","pp","fadD28 (pp) 83332.Rv2939","0.073",,"0.127",,,,"0.06","0.848","0.824"
"49007","4547.94943852","pp","fas (pp) fadD28","false","pp","fas (pp) fadD28","0.226",,"0.789",,,,"0.14","0.88","0.247"
