"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"20516","2.0","pp","208964.PA0420 (pp) 208964.PA0500","false","pp","208964.PA0420 (pp) 208964.PA0500","0.455","0.46","0.236",,,"0.617","0.973","0.732"
"20517","3136.1189757610164","pp","208964.PA0420 (pp) 208964.PA0501","false","pp","208964.PA0420 (pp) 208964.PA0501","0.813","0.268","0.9",,,"0.617","0.999","0.852"
"20518","2.0","pp","208964.PA0420 (pp) 208964.PA0503","false","pp","208964.PA0420 (pp) 208964.PA0503","0.19","0.215",,,,"0.617","0.993","0.975"
"20519","473.88102423897925","pp","208964.PA0420 (pp) 208964.PA0504","false","pp","208964.PA0420 (pp) 208964.PA0504","0.181","0.671","0.9",,,"0.617","0.999","0.976"
"20520","2.0","pp","208964.PA0420 (pp) 208964.PA4280","false","pp","208964.PA0420 (pp) 208964.PA4280",,,,,,"0.048","0.845","0.844"
"20521","874.9226926479445","pp","208964.PA5565 (pp) 208964.PA5568","false","pp","208964.PA5565 (pp) 208964.PA5568","0.255","0.153",,,,"0.617","0.835","0.399"
"20522","99.11005585432808","pp","208964.PA5565 (pp) 208964.PA5569","false","pp","208964.PA5565 (pp) 208964.PA5569","0.712",,,,,"0.377","0.929","0.636"
"20523","188.3401455539051","pp","208964.PA5565 (pp) 208964.PA5570","false","pp","208964.PA5565 (pp) 208964.PA5570","0.384",,,,,"0.371","0.94","0.857"
"20524","2.0","pp","208964.PA0692 (pp) 208964.PA0693","false","pp","208964.PA0692 (pp) 208964.PA0693","0.304","0.784",,,,"0.862","0.977",
"20525","2.0","pp","208964.PA0692 (pp) 208964.PA0694","false","pp","208964.PA0692 (pp) 208964.PA0694","0.256","0.77",,,,"0.404","0.889",
"20526","2.0","pp","208964.PA0692 (pp) 208964.PA0695","false","pp","208964.PA0692 (pp) 208964.PA0695","0.133","0.784",,,,"0.404","0.879",
