"SUID","EdgeBetweenness","interaction","name","path length","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"13289","394.75333805","pp","1280.SAXN108_1671 (pp) 1280.SAXN108_2468",,"false","pp","1280.SAXN108_1671 (pp) 1280.SAXN108_2468","0.222","0.452",,"0.361",,,"0.078","0.828","0.422"
"13290","464.03933883","pp","1280.SAXN108_1671 (pp) 1280.SAXN108_2498",,"false","pp","1280.SAXN108_1671 (pp) 1280.SAXN108_2498","0.383","0.475",,"0.361",,,,"0.775",
"13291","302.65784876","pp","1280.SAXN108_1671 (pp) 1280.SAXN108_1672",,"false","pp","1280.SAXN108_1671 (pp) 1280.SAXN108_1672","0.185","0.395",,"0.361","0.048",,"0.545","0.931","0.591"
"13292","560.15510911","pp","1280.SAXN108_1671 (pp) 1280.SAXN108_2496",,"false","pp","1280.SAXN108_1671 (pp) 1280.SAXN108_2496","0.355","0.212",,"0.363",,,,"0.788","0.423"
"13293","332.92477084","pp","1280.SAXN108_1671 (pp) 1280.SAXN108_1705",,"false","pp","1280.SAXN108_1671 (pp) 1280.SAXN108_1705","0.14","0.534",,"0.361",,,"0.049","0.776","0.225"
"13294","330.03168797","pp","1280.SAXN108_1671 (pp) 1280.SAXN108_1674",,"false","pp","1280.SAXN108_1671 (pp) 1280.SAXN108_1674","0.238","0.267",,"0.361","0.745",,"0.542","0.981","0.63"
"13295","1432.50463632","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_0583",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_0583","0.062",,"0.373",,,,"0.876","0.986","0.841"
"13296","1081.25504947","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_0585",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_0585","0.928",,,,,,"0.876","0.992","0.232"
"13297","698.82833864","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_1347",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_1347","0.057",,"0.936",,,,,"0.97","0.549"
"13298","5259.98023719","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_1495",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_1495","0.07",,,,"0.772",,"0.105","0.8","0.069"
"13299","1011.69581221","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_1389",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_1389","0.057",,"0.936",,,,,"0.947","0.194"
"13300","1408.26348691","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_1388",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_1388","0.056",,"0.936",,,,,"0.938","0.068"
"13301","360.13107466","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_2779",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_2779",,,"0.936",,,,,"0.944","0.161"
"13302","1466.82753456","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_0584",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_0584",,,,,,,"0.876","0.977","0.824"
"13303","5675.93170057","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_2358",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_2358","0.156",,"0.936",,,,,"0.946","0.085"
"13304","360.13107466","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_2780",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_2780",,,"0.936",,,,,"0.948","0.224"
"13305","885.77685571","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_1345",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_1345",,"0.206","0.936",,,,"0.05","0.947",
"13306","964.30750084","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_0586",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_0586","0.485",,,,,,"0.876","0.944","0.199"
"13307","2202.8508839","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_0587",,"false","pp","1280.SAXN108_0582 (pp) 1280.SAXN108_0587","0.513",,,,,,"0.699","0.847",
"13308","553.38570317","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_1690",,"false","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_1690","0.521","0.202",,,,,"0.093","0.882","0.701"
"13309","1546.98174854","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_1238",,"false","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_1238","0.262","0.632",,,,,"0.13","0.783","0.193"
"13310","576.33926133","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_1191",,"false","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_1191","0.635","0.178",,,,,"0.052","0.803","0.39"
"13311","1208.92846455","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_0590",,"false","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_0590","0.062",,,,,,"0.496","0.834","0.678"
"13312","976.15544753","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_1789",,"false","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_1789","0.636",,,"0.258",,,"0.13","0.835","0.382"
"13313","701.67144446","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_0585",,"false","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_0585","0.075",,,"0.119",,,"0.876","0.919","0.293"
"13314","1532.95215229","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_0586",,"false","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_0586",,,,,,,"0.876","0.897","0.207"
"13315","783.91078306","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_0584",,"false","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_0584","0.06",,,,,,"0.876","0.977","0.82"
"13316","814.81874018","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_1134",,"false","pp","1280.SAXN108_0583 (pp) 1280.SAXN108_1134","0.361","0.165",,,,,"0.061","0.775","0.604"
"13317","62.83458686","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2365",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2365","0.63",,,"0.995",,,"0.136","0.998","0.391"
"13318","16.70151885","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2473",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2473","0.762","0.452","0.759","0.996",,,,"0.999","0.607"
"13319","46.60178511","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2493",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2493","0.594","0.174",,"0.996",,,,"0.999","0.52"
"13320","30.19309712","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2490",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2490","0.599","0.372",,"0.996",,,,"0.999","0.4"
"13321","35.99460973","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2487",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2487","0.68","0.228",,"0.996",,,,"0.999","0.802"
"13322","28.72721061","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2485",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2485","0.584","0.25",,"0.996",,,,"0.999","0.598"
"13323","21.61815946","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2498",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2498","0.681","0.189","0.619","0.996",,,,"0.999","0.801"
"13324","32.1328789","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2492",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2492","0.443","0.38","0.674","0.996",,,,"0.999","0.676"
"13325","36.07420919","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2476",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2476","0.615","0.383",,"0.996",,,,"0.999","0.776"
"13326","29.99773498","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2481",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2481","0.679","0.595","0.667","0.996",,,,"0.999","0.459"
"13327","56.44844356","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2475",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2475","0.59","0.195",,"0.996",,,,"0.999","0.642"
"13328","1589.69715033","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1673",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1673",,,,,,,"0.87","0.975","0.822"
"13329","32.05456325","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2489",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2489","0.365","0.28",,"0.996",,,,"0.999","0.772"
"13330","22.07234375","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2491",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2491","0.392",,,"0.979",,,,"0.995","0.683"
"13331","47.50548468","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2484",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2484","0.389","0.183",,"0.996",,,,"0.998","0.103"
"13332","26.04466047","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2500",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2500","0.686",,,"0.996",,,,"0.999","0.553"
"13333","13.64683923","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2468",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2468","0.721","0.497","0.701","0.984",,,"0.136","0.999","0.832"
"13334","36.48909957","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2494",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2494","0.678","0.192","0.374","0.996",,,,"0.999","0.457"
"13335","56.17308579","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2496",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2496","0.678","0.435","0.515","0.996",,,,"0.999","0.783"
"13336","3.70226449","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1674",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1674","0.898","0.28","0.716","0.996",,,"0.87","0.999","0.867"
"13337","21.78469621","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2488",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2488","0.623",,"0.693","0.996",,,,"0.999","0.681"
"13338","19.50543374","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2482",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2482","0.405",,,"0.996",,,,"0.997","0.097"
"13339","42.79819817","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1706",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1706","0.712",,,"0.996",,,,"0.999","0.654"
"13340","35.6978882","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2495",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2495","0.285","0.267",,"0.996",,,,"0.999","0.826"
"13341","47.35704475","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1707",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1707","0.356",,,,,,,"0.828","0.745"
"13342","242.48635427","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1709",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1709","0.268",,"0.73","0.38",,,"0.129","0.878",
"13343","38.74658332","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1748",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1748","0.759","0.17",,"0.996",,,,"0.999","0.593"
"13344","83.35656259","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2992",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2992","0.518",,,"0.996",,,"0.081","0.999","0.565"
"13345","51.06053084","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1705",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_1705","0.73","0.226","0.467","0.996",,,,"0.999","0.789"
"13346","57.30940217","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2483",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2483","0.642",,,"0.996",,,,"0.999","0.54"
"13347","27.55755424","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2499",,"false","pp","1280.SAXN108_1672 (pp) 1280.SAXN108_2499","0.692","0.321","0.695","0.996",,,,"0.999","0.507"
